OBJECT_NAME,OBJECT_ID,OBJECT_TYPE,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,WEATHER,BRIGHTEST,EARTH_RESOURCES,NAVIGATION,SCIENTIFIC,MISCELLANEOUS,COMMUNICATION,active geosynchronous,constellations,active_geosynchronous
CYGNUS NG-23,2025-208A,Space Station,2026-03-01T13:48:17.544384,15.48382986,0.0008284,51.632,112.4722,146.1756,213.9762,0,U,65616,999,55483,0.00019202,9.927e-05,0.0,False,False,False,False,False,False,False,False,False,
ISS OBJECT XK,1998-067XK,Space Station,2026-03-01T07:32:51.592128,16.01638929,0.0006743,51.6174,91.0881,40.2246,319.9262,0,U,65731,999,2555,0.0013265,0.00764736,0.00028714,False,False,False,False,False,False,False,False,False,
YOTSUBA-KULOVER,1998-067XN,Space Station,2026-03-01T08:23:37.382208,15.7694061,0.0006112,51.6222,100.4331,19.8048,340.3188,0,U,65941,999,2218,0.0010771,0.00181603,0.0,False,False,False,False,False,False,False,False,False,
BOTAN,1998-067XP,Space Station,2026-03-01T07:53:39.334272,16.13419316,0.0006842,51.6093,93.3995,39.194,320.9569,0,U,65942,999,2227,0.0017297,0.01991374,0.0037933,False,False,False,False,False,False,False,False,False,
E-KAGAKU-1,1998-067XQ,Space Station,2026-03-01T11:30:22.237056,15.76747517,0.000631,51.6239,99.8138,28.4787,331.6556,0,U,65943,999,2220,0.0010418,0.00173992,0.0,False,False,False,False,False,False,False,False,False,
HRC MONOBLOCK CAMERA,1998-067XR,Space Station,2026-03-01T19:54:40.906368,15.61244027,0.0003342,51.6275,105.1747,58.2632,301.8687,0,U,66052,999,2116,0.00063635,0.00054879,0.0,False,False,False,False,False,False,False,False,False,
HTV-X1,2025-241A,Space Station,2026-03-01T13:48:17.544384,15.48382986,0.0008284,51.632,112.4722,146.1756,213.9762,0,U,66174,999,55479,0.00019202,9.927e-05,0.0,False,False,False,False,False,False,False,False,False,
SZ-21 MODULE,2025-246C,Space Station,2026-03-01T14:29:05.135424,15.67828728,0.0001468,41.4736,253.1136,286.2005,73.8675,0,U,66515,999,1680,0.00035055,0.0003957,0.0,False,False,False,False,False,False,False,False,False,
SHENZHOU-22,2025-272A,Space Station,2026-03-01T18:42:31.245984,15.60278755,0.0006462,41.4651,256.2782,223.4056,136.6275,0,U,66645,999,26787,0.00020477,0.00016927,0.0,False,False,False,False,False,False,False,False,False,
SOYUZ-MS 28,2025-275A,Space Station,2026-03-01T13:48:17.544384,15.48382986,0.0008284,51.632,112.4722,146.1756,213.9762,0,U,66664,999,55484,0.00019202,9.927e-05,0.0,False,False,False,False,False,False,False,False,False,
